,GM#,BOS,NYY,BAL,TBR,TOR,CHW,CLE,DET,KCR,MIN,HOU,LAA,OAK,SEA,TEX,ATL,MIA,NYM,PHI,WSN,CHC,CIN,MIL,PIT,STL,ARI,COL,LAD,SDP,SFG
40,40,16,16,-16,-4,2,-18,0,-4,-14,-4,8,8,-2,6,-8,10,-12,2,8,4,4,-14,6,6,6,8,4,-8,-12,-2
41,41,15,15,-15,-3,1,-19,-1,-3,-15,-5,9,9,-1,7,-9,9,-11,3,9,5,5,-13,7,7,5,7,3,-9,-11,-1
42,42,14,14,-16,-2,0,-18,0,-4,-16,-4,10,8,0,6,-10,10,-10,4,8,6,4,-14,8,8,6,8,4,-10,-10,0
43,43,15,15,-17,-1,1,-17,-1,-3,-17,-3,9,7,-1,5,-11,9,-11,5,9,7,5,-15,7,9,5,7,3,-9,-11,1
44,44,16,16,-16,0,0,-18,0,-4,-16,-2,10,6,0,6,-10,10,-10,4,8,6,6,-14,8,8,6,6,4,-8,-10,0
45,45,15,17,-17,-1,-1,-17,-1,-5,-17,-3,11,5,1,7,-11,11,-11,3,9,5,5,-15,9,7,7,5,5,-7,-11,-1
46,46,16,16,-18,-2,-2,-16,0,-6,-18,-4,12,4,2,8,-10,10,-12,4,8,4,4,-14,10,6,6,4,4,-6,-10,-2
47,47,17,15,-17,-3,-3,-17,1,-7,-19,-5,11,5,3,9,-11,11,-13,3,9,5,5,-15,9,5,5,3,3,-7,-9,-1
48,48,18,16,-18,-2,-2,-18,0,-8,-18,-6,12,4,2,10,-12,10,-12,2,8,6,4,-16,10,6,4,2,4,-6,-8,0
49,49,19,15,-19,-3,-3,-17,-1,-7,-17,-5,13,5,1,9,-13,9,-11,1,9,5,5,-15,11,5,5,1,3,-5,-9,-1
50,50,18,16,-18,-2,-4,-18,0,-6,-16,-6,14,6,2,10,-12,8,-12,0,8,6,6,-16,12,6,6,2,2,-4,-10,-2
51,51,19,15,-17,-1,-3,-19,1,-7,-17,-7,15,5,1,11,-11,9,-13,1,7,7,7,-15,11,5,5,1,3,-5,-9,-3
52,52,20,16,-18,0,-4,-20,2,-6,-18,-8,16,6,2,12,-12,10,-14,0,8,8,6,-16,12,4,6,0,2,-4,-10,-2
53,53,19,17,-19,1,-3,-21,3,-5,-17,-7,15,5,3,13,-11,9,-13,1,7,9,7,-15,13,3,5,1,3,-3,-9,-3
54,54,20,18,-20,2,-4,-20,4,-6,-18,-6,14,4,2,12,-10,10,-14,0,8,10,8,-16,14,2,6,2,4,-4,-10,-4
55,55,21,19,-21,1,-5,-21,5,-5,-17,-5,15,5,1,11,-11,9,-15,-1,7,11,9,-17,15,3,5,1,5,-3,-11,-5
56,56,22,20,-22,0,-6,-20,4,-4,-16,-4,14,4,0,12,-12,10,-16,-2,6,10,10,-18,14,2,6,2,4,-4,-10,-4
57,57,21,19,-23,-1,-7,-21,3,-3,-17,-5,13,3,1,13,-11,11,-17,-3,5,9,9,-17,15,3,7,3,3,-3,-9,-3
